Overall Rank	Name	Pos	Team	Bye	ADP	Std Dev
82	Carnell Tate	WR	TEN	9	80.2	8.3
83	Seattle Defense	DEF	SEA	11	80.5	8.5
84	Kyle Pitts Sr.	TE	ATL	11	81.3	12.0
85	Brock Purdy	QB	SF	8	83.4	11.7
86	Caleb Williams	QB	CHI	10	85.4	11.5
87	Denver Defense	DEF	DEN	10	86.5	6.8
88	J.K. Dobbins	RB	DEN	10	86.7	10.4
89	Wan'Dale Robinson	WR	TEN	9	87.1	8.9
90	Jayden Reed	WR	GB	11	88.9	7.5
91	Jonathon Brooks	RB	CAR	5	89.0	11.4
92	Jakobi Meyers	WR	JAX	7	89.5	7.4
93	George Kittle	TE	SF	8	90.0	13.1
